"TCG region",Expansion,"Card number","Card number sorting order","Card name",Rarity,"Card variant","Card language","Card condition","Additional card grade label",Quantity
International,"Scarlet & Violet",001/198,1,Pineco,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",002/198,2,Heracross,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",003/198,3,Shroomish,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",004/198,4,Breloom,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",005/198,5,Cacnea,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",006/198,6,Cacturne,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",007/198,7,Tropius,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",008/198,8,Scatterbug,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",009/198,9,Spewpa,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",010/198,10,Vivillon,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",011/198,11,Skiddo,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",012/198,12,Gogoat,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",013/198,13,Sprigatito,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",014/198,14,Floragato,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",015/198,15,Meowscarada,Rare,"Normal Holo",English,Mint,,1
International,"Scarlet & Violet",016/198,16,Tarountula,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",017/198,17,Tarountula,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",018/198,18,Tarountula,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",019/198,19,"Spidops ex","Double Rare","Normal Holo",English,Mint,,1
International,"Scarlet & Violet",020/198,20,Smoliv,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",021/198,21,Smoliv,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",022/198,22,Dolliv,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",023/198,23,Arboliva,Rare,"Normal Holo",English,Mint,,1
International,"Scarlet & Violet",024/198,24,Toedscool,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",025/198,25,Toedscool,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",026/198,26,Toedscruel,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",027/198,27,Capsakid,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",028/198,28,Capsakid,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",029/198,29,Scovillain,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",030/198,30,Growlithe,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",031/198,31,Growlithe,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",032/198,32,"Arcanine ex","Double Rare","Normal Holo",English,Mint,,1
International,"Scarlet & Violet",033/198,33,Houndour,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",034/198,34,Houndoom,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",035/198,35,Torkoal,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",036/198,36,Fuecoco,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",037/198,37,Crocalor,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",038/198,38,Skeledirge,Rare,"Normal Holo",English,Mint,,1
International,"Scarlet & Violet",039/198,39,Charcadet,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",040/198,40,Charcadet,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",041/198,41,Armarouge,Rare,"Normal Holo",English,Mint,,1
International,"Scarlet & Violet",042/198,42,Slowpoke,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",043/198,43,Slowbro,Rare,"Normal Holo",English,Mint,,1
International,"Scarlet & Violet",044/198,44,Magikarp,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",045/198,45,"Gyarados ex","Double Rare","Normal Holo",English,Mint,,1
International,"Scarlet & Violet",046/198,46,Buizel,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",047/198,47,Floatzel,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",048/198,48,Alomomola,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",049/198,49,Clauncher,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",050/198,50,Clawitzer,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",051/198,51,Bruxish,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",052/198,52,Quaxly,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",053/198,53,Quaxwell,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",054/198,54,Quaquaval,Rare,"Normal Holo",English,Mint,,1
International,"Scarlet & Violet",055/198,55,Wiglett,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",056/198,56,Wiglett,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",057/198,57,Wugtrio,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",058/198,58,Cetoddle,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",059/198,59,Cetoddle,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",060/198,60,Cetitan,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",061/198,61,Dondozo,Rare,"Normal Holo",English,Mint,,1
International,"Scarlet & Violet",062/198,62,Tatsugiri,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",063/198,63,Magnemite,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",064/198,64,Magneton,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",065/198,65,"Magnezone ex","Double Rare","Normal Holo",English,Mint,,1
International,"Scarlet & Violet",066/198,66,Mareep,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",067/198,67,Flaaffy,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",068/198,68,Pachirisu,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",069/198,69,Rotom,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",070/198,70,Rotom,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",071/198,71,Toxel,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",072/198,72,Toxtricity,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",073/198,73,Pawmi,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",074/198,74,Pawmi,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",075/198,75,Pawmo,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",076/198,76,Pawmot,Rare,"Normal Holo",English,Mint,,1
International,"Scarlet & Violet",077/198,77,Wattrel,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",078/198,78,Wattrel,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",079/198,79,Kilowattrel,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",080/198,80,Miraidon,Rare,"Normal Holo",English,Mint,,1
International,"Scarlet & Violet",082/198,82,Drowzee,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",083/198,83,Hypno,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",084/198,84,Ralts,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",085/198,85,Kirlia,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",087/198,87,Shuppet,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",089/198,89,Drifloon,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",090/198,90,Drifblim,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",091/198,91,Flabébé,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",092/198,92,Floette,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",093/198,93,Florges,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",094/198,94,Dedenne,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",095/198,95,Dedenne,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",096/198,96,Klefki,Rare,"Normal Holo",English,Mint,,1
International,"Scarlet & Violet",097/198,97,Fidough,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",098/198,98,Fidough,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",099/198,99,Dachsbun,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",100/198,100,Flittle,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",101/198,101,Flittle,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",102/198,102,Flittle,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",103/198,103,Espathra,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",104/198,104,Greavard,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",105/198,105,Greavard,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",106/198,106,Houndstone,Rare,"Normal Holo",English,Mint,,1
International,"Scarlet & Violet",107/198,107,Mankey,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",108/198,108,Primeape,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",109/198,109,Annihilape,Rare,"Normal Holo",English,Mint,,1
International,"Scarlet & Violet",110/198,110,Meditite,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",111/198,111,Medicham,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",112/198,112,Riolu,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",113/198,113,Riolu,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",114/198,114,Lucario,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",115/198,115,Sandile,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",116/198,116,Krokorok,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",117/198,117,Krookodile,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",118/198,118,Hawlucha,Rare,"Normal Holo",English,Mint,,1
International,"Scarlet & Violet",119/198,119,Silicobra,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",120/198,120,Sandaconda,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",121/198,121,Stonjourner,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",122/198,122,Klawf,Rare,"Normal Holo",English,Mint,,1
International,"Scarlet & Violet",123/198,123,"Great Tusk ex","Double Rare","Normal Holo",English,Mint,,1
International,"Scarlet & Violet",124/198,124,Koraidon,Rare,"Normal Holo",English,Mint,,1
International,"Scarlet & Violet",125/198,125,"Koraidon ex","Double Rare","Normal Holo",English,Mint,,1
International,"Scarlet & Violet",126/198,126,Grimer,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",127/198,127,Muk,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",128/198,128,Seviper,Common,Normal,English,Mint,,1
International,"Scarlet & Violet",129/198,129,Spiritomb,Uncommon,Normal,English,Mint,,1
International,"Scarlet & Violet",130/198,130,Croagunk,Common,Normal,English,Mint,,1
